collaped_address,num_associated,latitude,longitude
300 O'HARA AVE,1,43.61593765,-79.321369
100A CLAIRTRELL RD,2,43.61593765,-79.321369
600 RYERSON AVE,6,43.61593765,-79.321369
4000 CHESSWOOD ST,1,43.61593765,-79.321369
1600 HARLANDALE AV,1,43.61593765,-79.321369
100 CAMBRDIGE AV,1,43.61593765,-79.321369
600A QUEEN ST E,3,43.61593765,-79.321369
100 KIRKNEWTON DR,1,43.61593765,-79.321369
200 SANDWOOD BLVD,1,43.61593765,-79.321369
400 PHOEBE ST,1,43.61593765,-79.321369
100 CHERY SHEPWAY,1,43.61593765,-79.321369
600 BROOKWELL DR,1,43.61593765,-79.321369
100 GREY RD,28,43.61593765,-79.321369
200 VARSITY AVE,1,43.61593765,-79.321369
200 SENNY WRENWAY,1,43.61593765,-79.321369
100 AUBYNES CR,1,43.61593765,-79.321369
100 ROCK FORD RD,1,43.61593765,-79.321369
400 CHURCHILL AVE,14,43.61593765,-79.321369
100 SUBWAY CR,3,43.61593765,-79.321369
1300 SHERIDAN AVE,1,43.61593765,-79.321369
100 BUIRROWS HALL BLVD,1,43.61593765,-79.321369
100 FLEET ST,9,43.61593765,-79.321369
1300 EGLINGTON AV E,1,43.61593765,-79.321369
200a DOWLING AVE,1,43.61593765,-79.321369
300 ELIZEBETH ST,1,43.61593765,-79.321369
400 :) BAIN AVE,1,43.61593765,-79.321369
100 WOODWARD AVE,46,43.61593765,-79.321369
100 SHOALHAVEND R,1,43.61593765,-79.321369
5000 5000 YONGE STR,1,43.61593765,-79.321369
300 MERTON ST,59,43.61593765,-79.321369
400 QUEENS WAY W,3,43.61593765,-79.321369
1000 EGLINTONA VE W,1,43.61593765,-79.321369
200 BELLAMY AV,1,43.61593765,-79.321369
100-100-100 FASHION ROSEWAY,1,43.61593765,-79.321369
300ric RICHMOND ST E,1,43.61593765,-79.321369
1900 JAN ST,1,43.61593765,-79.321369
100 EASTON AV,1,43.61593765,-79.321369
900A EGLINTON AVE W,1,43.61593765,-79.321369
100 STUART AVE,50,43.61593765,-79.321369
1300 MILITARY TR,17,43.61593765,-79.321369
4000 ORTON PARK RD,1,43.61593765,-79.321369
100 OLD MILL DR,49,43.61593765,-79.321369
100 SYBWAY CRES,1,43.61593765,-79.321369
100 BADGEROW AV,3,43.61593765,-79.321369
500 WELLINGTON ST WEST,7,43.61593765,-79.321369
www600 ST CLAIR AVE W,1,43.61593765,-79.321369
400 GLOUCESTER GRV,3,43.61593765,-79.321369
400 DIRFTWOOD AVE,1,43.61593765,-79.321369
100 DENVER AV,1,43.61593765,-79.321369
